,Season End Year,League,Nº Teams,Total Stadiums Capacity,TSC_%,Average Stadiums Capacity,ASC_%,Total Attendance,TA_%,Average Attendance,AA_%,Average Capacity Ocupation,ACO_%
105,2006,Serie A,20,729935.0,-0.03782095812566655,36497.0,-0.03780548891408087,8346825,-0.15170016692963806,21965,-0.15170123199320285,0.6018,-0.118370934661588
106,2007,Serie A,20,721140.0,-0.012049018063252205,36057.0,-0.012055785407019792,6947227,-0.16768028561758508,18282,-0.16767584793990442,0.507,-0.1575274177467597
107,2008,Serie A,20,763655.0,0.05895526527442652,38183.0,0.0589621987408826,8869341,0.2766735562261029,23340,0.2766655726944536,0.6113,0.2057199211045364
108,2009,Serie A,20,801284.0,0.04927486888712829,40064.0,0.04926276091454307,9615547,0.08413319546514231,25371,0.08701799485861184,0.6333,0.03598887616554891
109,2010,Serie A,20,821191.0,0.024843875579694696,41060.0,0.02486022364217244,9607335,-0.0008540335770809149,25282,-0.0035079421386622345,0.6157,-0.027790936365071798
110,2011,Serie A,20,839037.0,0.021731850446485627,41952.0,0.02172430589381391,9171514,-0.0453633603907847,24136,-0.04532869235028869,0.5753,-0.06561637160955014
111,2012,Serie A,20,780629.0,-0.06961313982577644,39031.0,-0.06962719298245612,8547310,-0.0680589922230942,22493,-0.06807258866423603,0.5763,0.0017382235355467568
112,2013,Serie A,20,792153.0,0.014762454379737331,39608.0,0.014783121108862263,8818695,0.03175092514487021,23268,0.034455163828746686,0.5875,0.019434322401526986
113,2014,Serie A,20,799988.0,0.009890766051507738,39999.0,0.009871743082205509,8886213,0.007656234851074918,23385,0.005028365136668489,0.5846,-0.004936170212765934
114,2015,Serie A,20,801144.0,0.001445021675325231,40057.0,0.001450036250906228,8440903,-0.05011246072989695,22213,-0.05011759675005345,0.5545,-0.051488197057817375
115,2016,Serie A,20,796715.0,-0.005528344467411572,39836.0,-0.005517138078238504,8604537,0.019385840590751883,22644,0.01940305226669059,0.5684,0.0250676284941389
116,2017,Serie A,20,789299.0,-0.009308221886119905,39465.0,-0.009313184054624002,8422378,-0.021170110605602588,22164,-0.02119766825649183,0.5616,-0.01196340605207602
117,2018,Serie A,20,784839.0,-0.0056505836191355074,39242.0,-0.005650576460154544,9411539,0.11744438447193885,24767,0.11744269987366908,0.6311,0.12375356125356117
118,2019,Serie A,20,770547.0,-0.018210104237939232,38527.0,-0.018220274196014463,9590166,0.0189795739039067,25237,0.018976864375984226,0.655,0.03787038504199014
119,2020,Serie A,20,793748.0,0.03010977915688473,39687.0,0.03010875489916165,6820745,-0.2887771702804727,17949,-0.2887823433847129,0.4523,-0.30946564885496186
