,Date,Index
0,2017-01-01,998.33
1,2017-01-02,1021.75
2,2017-01-03,1043.84
3,2017-01-04,1154.73
4,2017-01-05,1013.38
5,2017-01-06,902.2
6,2017-01-07,908.59
7,2017-01-08,911.2
8,2017-01-09,902.83
9,2017-01-10,907.68
10,2017-01-11,777.76
11,2017-01-12,804.83
12,2017-01-13,823.98
13,2017-01-14,818.41
14,2017-01-15,821.8
15,2017-01-16,831.53
16,2017-01-17,907.94
17,2017-01-18,886.62
18,2017-01-19,899.07
19,2017-01-20,895.03
20,2017-01-21,921.79
21,2017-01-22,924.67
22,2017-01-23,921.01
23,2017-01-24,892.69
24,2017-01-25,901.54
25,2017-01-26,917.59
26,2017-01-27,919.75
27,2017-01-28,921.59
28,2017-01-29,919.5
29,2017-01-30,920.38
30,2017-01-31,970.4
31,2017-02-01,989.02
32,2017-02-02,1011.8
33,2017-02-03,1029.91
34,2017-02-04,1042.9
35,2017-02-05,1027.34
36,2017-02-06,1038.15
37,2017-02-07,1061.35
38,2017-02-08,1063.07
39,2017-02-09,994.38
40,2017-02-10,988.67
41,2017-02-11,1004.45
42,2017-02-12,999.18
43,2017-02-13,990.64
44,2017-02-14,1004.55
45,2017-02-15,1007.48
46,2017-02-16,1027.44
47,2017-02-17,1046.21
48,2017-02-18,1054.42
49,2017-02-19,1047.87
50,2017-02-20,1079.98
51,2017-02-21,1115.3
52,2017-02-22,1117.44
53,2017-02-23,1166.72
54,2017-02-24,1173.68
55,2017-02-25,1143.84
56,2017-02-26,1165.2
57,2017-02-27,1179.97
58,2017-02-28,1179.97
59,2017-03-01,1222.5
60,2017-03-02,1251.01
61,2017-03-03,1274.99
62,2017-03-04,1255.15
63,2017-03-05,1267.12
64,2017-03-06,1272.83
65,2017-03-07,1223.54
66,2017-03-08,1150.0
67,2017-03-09,1188.49
68,2017-03-10,1116.72
69,2017-03-11,1175.83
70,2017-03-12,1221.38
71,2017-03-13,1231.92
72,2017-03-14,1240.0
73,2017-03-15,1249.61
74,2017-03-16,1187.81
75,2017-03-17,1100.23
76,2017-03-18,973.82
77,2017-03-19,1036.74
78,2017-03-20,1054.23
79,2017-03-21,1120.54
80,2017-03-22,1049.14
81,2017-03-23,1038.59
82,2017-03-24,937.52
83,2017-03-25,972.78
84,2017-03-26,966.72
85,2017-03-27,1045.77
86,2017-03-28,1047.15
87,2017-03-29,1039.97
88,2017-03-30,1026.43
89,2017-03-31,1071.79
90,2017-04-01,1080.5
91,2017-04-02,1102.17
92,2017-04-03,1143.81
93,2017-04-04,1133.25
94,2017-04-05,1124.78
95,2017-04-06,1182.68
96,2017-04-07,1176.9
97,2017-04-08,1175.95
98,2017-04-09,1187.87
99,2017-04-10,1187.13
100,2017-04-11,1205.01
101,2017-04-12,1200.37
102,2017-04-13,1169.28
103,2017-04-14,1167.54
104,2017-04-15,1172.52
105,2017-04-16,1182.94
106,2017-04-17,1193.91
107,2017-04-18,1211.67
108,2017-04-19,1210.29
109,2017-04-20,1229.08
110,2017-04-21,1222.05
111,2017-04-22,1231.71
112,2017-04-23,1207.21
113,2017-04-24,1250.15
114,2017-04-25,1265.49
115,2017-04-26,1281.08
116,2017-04-27,1317.73
117,2017-04-28,1316.48
118,2017-04-29,1321.79
119,2017-04-30,1347.89
120,2017-05-01,1421.6
121,2017-05-02,1452.82
122,2017-05-03,1490.09
123,2017-05-04,1537.67
124,2017-05-05,1555.45
125,2017-05-06,1578.8
126,2017-05-07,1596.71
127,2017-05-08,1723.35
128,2017-05-09,1755.36
129,2017-05-10,1787.13
130,2017-05-11,1848.57
131,2017-05-12,1724.24
132,2017-05-13,1804.91
133,2017-05-14,1808.91
134,2017-05-15,1738.43
135,2017-05-16,1734.45
136,2017-05-17,1839.09
137,2017-05-18,1888.65
138,2017-05-19,1987.71
139,2017-05-20,2084.73
140,2017-05-21,2041.2
141,2017-05-22,2173.4
142,2017-05-23,2320.42
143,2017-05-24,2443.64
144,2017-05-25,2304.98
145,2017-05-26,2202.42
146,2017-05-27,2038.87
147,2017-05-28,2155.8
148,2017-05-29,2255.61
149,2017-05-30,2175.47
150,2017-05-31,2286.41
151,2017-06-01,2407.88
152,2017-06-02,2488.55
153,2017-06-03,2515.35
154,2017-06-04,2511.81
155,2017-06-05,2686.81
156,2017-06-06,2863.2
157,2017-06-07,2732.16
158,2017-06-08,2805.62
159,2017-06-09,2823.81
160,2017-06-10,2947.71
161,2017-06-11,2958.11
162,2017-06-12,2659.63
163,2017-06-13,2717.02
164,2017-06-14,2506.37
165,2017-06-15,2464.58
166,2017-06-16,2518.56
167,2017-06-17,2655.88
168,2017-06-18,2548.29
169,2017-06-19,2589.6
170,2017-06-20,2721.79
171,2017-06-21,2689.1
172,2017-06-22,2705.41
173,2017-06-23,2744.91
174,2017-06-24,2608.72
175,2017-06-25,2589.41
176,2017-06-26,2478.45
177,2017-06-27,2552.45
178,2017-06-28,2574.79
179,2017-06-29,2539.32
180,2017-06-30,2480.84
181,2017-07-01,2434.55
182,2017-07-02,2506.47
183,2017-07-03,2564.06
184,2017-07-04,2601.64
185,2017-07-05,2601.99
186,2017-07-06,2608.56
187,2017-07-07,2518.66
188,2017-07-08,2571.34
189,2017-07-09,2518.44
190,2017-07-10,2372.56
191,2017-07-11,2337.79
192,2017-07-12,2398.84
193,2017-07-13,2357.9
194,2017-07-14,2233.34
195,2017-07-15,1998.86
196,2017-07-16,1929.82
197,2017-07-17,2228.41
198,2017-07-18,2318.88
